CODIGO_CARRERA,UNI_CODIGO,NOMBRE_CARRERA,NOMBRE_UNIVERSIDAD,REGION_CASA_MATRIZ,%_NOTAS,%_Ranking,%_LENG,%_MATE1,%_MATE2,%_HYCS,%_CIEN,EXIGE_MATE2,PROM_MINIMO_LENMAT,PONDERADO_MINIMO,VACANTES_1SEM,SC_1S,VACANTES_2SEM,SC_2S,RESTRINGE_SEXO,PRUEBA_ESPECIAL,TIPO_PE,PONDERACION_PE,PO_ALTERNATIVA,MAX_POST_UNIV,EXCLUYE_DESDE_PREFERENCIA,CDP_VACANTES_ESPECIALES,CAR_PEDAGOGIA,CAR_MIN_RKG,CAR_SEL_PEDA,PACE,CAR_VACANTES_PACE,REG_CODIGO,VACANTES_GENERO,CAR_CIENCIAS_TECNOLOGIA
50215,50,PEDAGOGÃA EN INGLÃ‰S,UNIVERSIDAD SAN SEBASTIAN,13,20,30,25,15,0,10.0,10.0,N,458,,50,,,,,N,,,S,21,21,1.0,S,,1,N,0,10,,N
50219,50,BACHILLERATO EN CIENCIAS DE LA SALUD,UNIVERSIDAD SAN SEBASTIAN,13,20,25,15,30,0,10.0,10.0,N,458,,80,33.0,,,,N,,,S,21,21,,N,,0,N,0,10,,N
50221,50,ENFERMERÃA,UNIVERSIDAD SAN SEBASTIAN,13,10,30,30,20,0,10.0,10.0,N,458,,120,75.0,,,,N,,,S,21,21,,N,,0,N,0,10,,N
50222,50,FONOAUDIOLOGÃA,UNIVERSIDAD SAN SEBASTIAN,13,20,30,30,10,0,10.0,10.0,N,458,,60,,,,,N,,,S,21,21,1.0,N,,0,N,0,10,,N
50224,50,KINESIOLOGÃA,UNIVERSIDAD SAN SEBASTIAN,13,15,20,35,20,0,10.0,10.0,N,458,,90,10.0,,,,N,,,S,21,21,1.0,N,,0,N,0,10,,N
50225,50,MEDICINA,UNIVERSIDAD SAN SEBASTIAN,13,10,30,20,30,0,,10.0,N,500,,80,25.0,,,,N,,,N,21,21,,N,,0,N,0,10,,N
50226,50,NUTRICIÃ“N Y DIETÃ‰TICA,UNIVERSIDAD SAN SEBASTIAN,13,15,30,35,10,0,10.0,10.0,N,458,,80,,,,,N,,,S,21,21,1.0,N,,0,N,0,10,,N
50227,50,OBSTETRICIA,UNIVERSIDAD SAN SEBASTIAN,13,10,25,35,20,0,10.0,10.0,N,458,,105,27.0,,,,N,,,S,21,21,1.0,N,,0,N,0,10,,N
50228,50,PSICOLOGÃA,UNIVERSIDAD SAN SEBASTIAN,13,10,25,40,15,0,10.0,10.0,N,458,,100,26.0,,,,N,,,S,21,21,1.0,N,,0,N,0,10,,N
50229,50,QUÃMICA Y FARMACIA,UNIVERSIDAD SAN SEBASTIAN,13,10,25,25,30,0,10.0,10.0,N,458,,65,20.0,,,,N,,,S,21,21,1.0,N,,0,N,0,10,,N
50230,50,TECNOLOGÃA MÃ‰DICA,UNIVERSIDAD SAN SEBASTIAN,13,10,20,30,25,0,15.0,15.0,N,458,,70,30.0,,,,N,,,S,21,21,1.0,N,,0,N,0,10,,N
50231,50,TERAPIA OCUPACIONAL,UNIVERSIDAD SAN SEBASTIAN,13,10,30,30,20,0,10.0,10.0,N,458,,55,20.0,,,,N,,,S,21,21,1.0,N,,0,N,0,10,,N
50232,50,ADMINISTRACIÃ“N PÃšBLICA,UNIVERSIDAD SAN SEBASTIAN,13,10,20,30,10,0,30.0,30.0,N,458,,50,,,,,N,,,S,21,21,1.0,N,,0,N,0,10,,N
50233,50,MEDICINA VETERINARIA,UNIVERSIDAD SAN SEBASTIAN,13,10,40,25,15,0,10.0,10.0,N,458,,120,45.0,,,,N,,,S,21,21,1.0,N,,0,N,0,10,,N
50501,50,ARQUITECTURA,UNIVERSIDAD SAN SEBASTIAN,13,10,20,30,30,0,10.0,10.0,N,458,,50,17.0,,,,N,,,S,21,21,1.0,N,,0,N,0,14,,N
50502,50,DERECHO,UNIVERSIDAD SAN SEBASTIAN,13,10,20,40,10,0,20.0,20.0,N,458,,140,,,,,N,,,S,21,21,1.0,N,,0,N,0,14,,N
50506,50,INGENIERÃA CIVIL INDUSTRIAL,UNIVERSIDAD SAN SEBASTIAN,13,10,25,15,35,5,10.0,10.0,S,458,,60,10.0,,,,N,,,S,21,21,1.0,N,,0,N,0,14,,S
50507,50,INGENIERÃA CIVIL INFORMÃTICA,UNIVERSIDAD SAN SEBASTIAN,13,10,25,10,40,5,10.0,10.0,S,458,,60,10.0,,,,N,,,S,21,21,1.0,N,,0,N,0,14,,S
