AGNO,RBD,DGV_RBD,NOM_RBD,TIPO_SOST,COD_REG_RB,NOM_REG_RB,COD_PRO_RB,COD_COM_RB,NOM_COM_RB,COD_DEPROV,NOM_DEPROV,TIPO_DEPEN,DIRECCION,NUMERO,REFERENCIA,LATITUD,LONGITUD,MAT_PARV,MAT_BAS_RE,MAT_BAS_AD,MAT_ESP,MAT_MHC_RE,MAT_MHC_AD,MAT_MTP_RE,MAT_MTP_AD,MAT_TOTAL,MAT_HOM_TO,MAT_MUJ_TO,MAT_SI_TOT,CUR_SIM_TO,CUR_COMB_T
2021,1664,0,LICEO INDUSTRIAL MIRAFLORES ALTO,1.0,5,VALPO,51,5109,VIÑA DEL MAR,53,VALPARAÍSO,1.0,AVENIDA FREI,4137.0,"POBLACIÓN MIRAFLORES ALTO VIÑA DEL MAR, COSTADO SUPERMERCADO LIDER",-33.023319,-71.507858,0.0,0.0,0.0,0.0,0.0,0.0,339.0,0.0,339.0,267.0,72.0,0.0,20.0,0.0
2021,1758,2,ESCUELA DE PARVULOS CRISOLITO,1.0,5,VALPO,51,5109,VIÑA DEL MAR,53,VALPARAÍSO,2.0,AVENIDA FREI,3838.0,"MIRAFLORES  ALTO, 1 CUADRA ANTES DE LLEGAR A  SUPERMERCADO LIDER POR AVENIDA PRINCIPAL.",-33.023308,-71.51106,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,41.0,44.0,0.0,4.0,0.0
2021,14292,1,COLEGIO  LOUIS LE GRAND,1.0,5,VALPO,51,5109,VIÑA DEL MAR,53,VALPARAÍSO,3.0,ARLEGUI,237.0,,-33.022785,-71.55901,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,8.0,5.0,3.0,0.0,2.0,0.0
2021,1496,6,ESCUELA LAS PALMAS DEL NIÑO DIOS,1.0,5,VALPO,58,5803,OLMUÉ,51,QUILLOTA,1.0,SECTOR LOS CORRALES,0.0,"SE UBICA FRENTE A POSTA RURAL LAS PALMAS,CAMINO SANTUARIO NIÑO DIOS DE LAS PALMAS.",-33.02272,-71.072533,18.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,44.0,46.0,0.0,2.0,4.0
2021,40001,7,ESCUELA DE PARVULOS OSITO,1.0,5,VALPO,51,5109,VIÑA DEL MAR,53,VALPARAÍSO,2.0,AVENIDA EDUARDO FREI MONTALVA,3847.0,CERCA DEL LIDER EXPRES.,-33.022713,-71.50491,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,17.0,7.0,0.0,2.0,0.0
2021,14394,4,ESCUELA DE PARVULOS SAN LUIS,1.0,5,VALPO,51,5109,VIÑA DEL MAR,53,VALPARAÍSO,2.0,CALLE DEL MAITEN,3072.0,AVDA. FREI CON CALLE EL MAITEN,-33.022614,-71.512924,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,6.0,6.0,0.0,2.0,0.0
2021,1776,0,SAINT PETER'S SCHOOL,9.0,5,VALPO,51,5109,VIÑA DEL MAR,53,VALPARAÍSO,3.0,LIBERTAD,575.0,ENTRE 6 Y 7 NORTE,-33.022439,-71.56663,70.0,249.0,0.0,0.0,88.0,0.0,0.0,0.0,407.0,172.0,235.0,0.0,18.0,0.0
2021,1763,9,CENTRO TRAT. INTEGRAL LAS DALIAS,1.0,5,VALPO,51,5109,VIÑA DEL MAR,53,VALPARAÍSO,2.0,PASAJE 4,2777.0,PARADERO EL PALTO MIRAFLORES ALTO,-33.022373,-71.521255,0.0,0.0,0.0,82.0,0.0,0.0,0.0,0.0,82.0,51.0,31.0,0.0,11.0,0.0
2021,1682,9,COLEGIO MIRAFLORES,1.0,5,VALPO,51,5109,VIÑA DEL MAR,53,VALPARAÍSO,1.0,EL LUCUMO,2940.0,,-33.02219,-71.517014,44.0,332.0,0.0,0.0,0.0,0.0,0.0,0.0,376.0,218.0,158.0,0.0,22.0,0.0
2021,1747,7,LICEO JOSE CORTES BROWN,1.0,5,VALPO,51,5109,VIÑA DEL MAR,53,VALPARAÍSO,2.0,REPUBLICA,71.0,CERRO CASTILLO AL LADO DE LA IGLESIA Y CERCA DEL PALACIO PRESIDENCIAL.,-33.02206,-71.565353,0.0,0.0,0.0,0.0,440.0,0.0,0.0,0.0,440.0,202.0,238.0,0.0,12.0,0.0
