ID_aux,RBD,COD_ENS,GRUPO_DEPENDENCIA,RAMA_EDUCACIONAL,SITUACION_EGRESO,CODIGO_REGION,CODIGO_COMUNA,PROMEDIO_NOTAS,PORC_SUP_NOTAS,PTJE_NEM,PTJE_RANKING,CLEC_REG_ACTUAL,MATE1_REG_ACTUAL,MATE2_REG_ACTUAL,HCSOC_REG_ACTUAL,CIEN_REG_ACTUAL,MODULO_REG_ACTUAL,CLEC_INV_ACTUAL,MATE1_INV_ACTUAL,MATE2_INV_ACTUAL,HCSOC_INV_ACTUAL,CIEN_INV_ACTUAL,MODULO_INV_ACTUAL,CLEC_REG_ANTERIOR,MATE1_REG_ANTERIOR,MATE2_REG_ANTERIOR,HCSOC_REG_ANTERIOR,CIEN_REG_ANTERIOR,MODULO_REG_ANTERIOR,CLEC_INV_ANTERIOR,MATE1_INV_ANTERIOR,MATE2_INV_ANTERIOR,HCSOC_INV_ANTERIOR,CIEN_INV_ANTERIOR,MODULO_INV_ANTERIOR,RINDIO_PROCESO_ANTERIOR,RINDIO_PROCESO_ACTUAL
id_8131581173152,2329,363,3,H2,1,6,6117,6.2,20,774,804,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,1
id_7405574070565,11286,363,4,H2,1,6,6301,6.8,10,943,981,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,1
id_4671546477181,11246,363,3,H2,1,6,6115,5.55,40,590,595,455,601,0,463,0,,,,,,,,,,,,,,,,,,,,0,1
id_5166551376629,2124,510,3,T2,1,6,6101,5.53,60,582,584,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,1
id_5244552374495,40024,310,3,H1,1,6,6111,6.25,20,785,806,500,446,0,493,0,,,,,,,,,,,,,,,,,,,,0,1
id_5456554175623,2552,510,3,T2,1,6,6310,5.25,80,497,497,477,486,0,0,328,TEC,,,,,,,,,,,,,,,,,,,0,1
id_5511555071115,2453,310,2,H1,1,6,6301,5.3,80,510,513,525,508,330,406,368,BIO,,,,,,,,,,,,,,,,,,,0,1
id_5273552777317,2103,510,3,T2,1,6,6101,6.45,10,843,930,740,723,366,0,471,TEC,,,,,,,,,,,,,,,,,,,0,1
id_5224552272415,2110,310,3,H1,1,6,6101,6.63,20,893,901,794,780,0,0,700,BIO,,,,,,,,,,,,,,,,,,,0,1
id_5132551973207,2104,510,3,T2,1,6,6101,5.63,80,609,609,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,1
id_5254552475422,40114,310,3,H1,1,6,6115,6.5,10,856,893,674,780,0,0,621,BIO,,,,,,,,,,,,,,,,,,,0,1
id_5499554779928,2205,410,3,T1,1,6,6106,5.8,40,658,672,364,502,438,0,0,,,,,,,,,,,,,,,,,,,,0,1
id_5104551470445,2583,310,3,H1,1,6,6304,6.45,40,842,848,540,526,0,432,355,BIO,,,,,,,,,,,,,,,,,,,0,1
id_5418554371882,40310,310,2,H1,1,6,6106,6.5,20,856,884,794,807,438,585,646,BIO,,,,,,,,,,,,,,,,,,,0,1
id_5496554479690,2552,410,3,T1,1,6,6310,6.68,10,909,925,808,975,0,0,459,TEC,,,,,,,,,,,,,,,,,,,0,1
id_5473554177359,2110,310,3,H1,1,6,6101,6.03,70,722,722,878,595,0,804,0,,,,,,,,,,,,,,,,,,,,0,1
id_5725557672551,2283,310,3,H1,1,6,6115,6.53,20,865,881,477,660,0,406,0,,,,,,,,,,,,,,,,,,,,0,1
id_5563555676384,2285,510,3,T2,1,6,6115,5.28,70,506,506,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,1
id_5241552974187,40023,310,1,H1,1,6,6108,6.78,10,937,973,841,975,631,0,771,QUI,,,,,,,,,,,,,,,,,,,0,1
id_5384553878491,2259,310,2,H1,1,6,6108,5.08,100,441,441,397,412,366,0,0,,,,,,,,,,,,,,,,,,,,0,1
id_5732557673255,2150,310,2,H1,1,6,6101,6.68,20,907,935,740,690,0,0,522,BIO,,,,,,,,,,,,,,,,,,,0,1
id_5359553975997,2375,410,3,T1,1,6,6113,5.9,40,686,701,511,539,0,463,328,TEC,,,,,,,,,,,,,,,,,,,0,1
id_5387553878741,2411,310,3,H1,1,6,6105,6.58,20,879,929,663,516,0,476,0,,,,,,,,,,,,,,,,,,,,0,1
id_5118551971883,2109,310,3,H1,1,6,6101,6.0,50,713,714,650,516,0,616,0,,,,,,,,,,,,,,,,,,,,0,1
id_5435554873581,2552,410,3,T1,1,6,6310,5.4,70,545,545,619,495,330,314,0,,,,,,,,,,,,,,,,,,,,0,1
id_5220552772061,2530,310,4,H1,1,6,6305,6.6,10,886,896,682,508,0,0,415,BIO,,,,,,,,,,,,,,,,,,,0,1
id_5842558974276,15633,310,2,H1,1,6,6301,5.63,60,608,608,424,432,453,397,355,BIO,,,,,,,,,,,,,,,,,,,0,1
id_5232552873258,15744,310,2,H1,1,6,6117,6.13,40,751,755,690,699,0,508,435,BIO,,,,,,,,,,,,,,,,,,,0,1
id_5496554179630,2259,310,2,H1,1,6,6108,5.85,40,671,671,540,403,0,0,344,BIO,,,,,,,,,,,,,,,,,,,0,1
id_5449554474984,2580,310,2,H1,1,6,6310,6.5,30,856,861,634,587,0,0,499,BIO,,,,,,,,,,,,,,,,,,,0,1
id_5462554076237,2486,510,4,T2,1,6,6303,5.88,70,681,688,440,502,0,0,0,,,,,,,,,,,,,,,,,,,,0,1
id_5799557379934,15676,310,2,H1,1,6,6101,5.95,50,699,719,511,553,0,406,0,,,,,,,,,,,,,,,,,,,,0,1
id_5404554970496,2183,310,2,H1,1,6,6101,5.38,80,536,536,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,1
id_5726557372657,2110,310,3,H1,1,6,6101,6.78,10,937,946,710,780,0,0,664,QUI,,,,,,,,,,,,,,,,,,,0,1
id_5259552475945,2280,410,3,T1,1,6,6115,5.93,60,695,696,477,508,0,0,394,TEC,,,,,,,,,,,,,,,,,,,0,1
id_5271552077139,15574,363,3,H2,1,6,6310,5.43,70,556,556,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,1
id_5257552075764,2123,510,3,T2,1,6,6101,5.98,50,709,724,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,1
id_5417554071727,15646,310,2,H1,1,6,6106,5.8,60,657,657,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,1
id_5188551078876,11265,310,2,H1,1,6,6101,6.8,10,942,960,597,672,0,545,0,,,,,,,,,,,,,,,,,,,,0,1
id_5701557270142,15554,310,2,H1,1,6,6108,6.2,40,771,778,674,975,688,0,593,BIO,,,,,,,,,,,,,,,,,,,0,1
id_5376553477651,2551,310,3,H1,1,6,6310,5.0,90,415,415,455,412,396,0,411,FIS,,,,,,,,,,,,,,,,,,,0,1
id_5925559172521,2165,310,2,H1,1,6,6101,5.9,50,685,708,590,526,0,476,381,BIO,,,,,,,,,,,,,,,,,,,0,1
id_5142551374217,15646,410,2,T1,1,6,6106,5.68,80,623,636,410,365,0,418,0,,,,,,,,,,,,,,,,,,,,0,1
id_5100551370000,2104,410,3,T1,1,6,6101,0.0,0,0,0,583,567,382,418,446,BIO,,,,,,,,,,,,,,,,,,,0,1
id_5486554878674,15722,310,2,H1,1,6,6305,6.2,50,771,773,634,660,0,628,402,BIO,,,,,,,,,,,,,,,,,,,0,1
id_5757557275796,15759,310,3,H1,1,6,6108,6.75,10,928,953,597,601,0,561,0,,,,,,,,,,,,,,,,,,,,0,1
id_5178551377838,15554,310,2,H1,1,6,6108,5.18,100,473,473,567,495,0,574,0,,,,,,,,,,,,,,,,,,,,0,1
id_5404554570433,15646,310,2,H1,1,6,6106,6.15,40,757,777,410,486,0,0,420,BIO,,,,,,,,,,,,,,,,,,,0,1
id_5575555477503,2111,610,3,T3,1,6,6101,5.63,60,609,611,455,508,438,0,459,TEC,,,,,,,,,,,,,,,,,,,0,1
id_5453554375371,2260,310,1,H1,1,6,6108,6.6,30,886,889,690,975,631,0,757,BIO,,,,,,,,,,,,,,,,,,,0,1
id_5967559876792,2134,410,3,T1,1,6,6101,5.7,80,630,630,525,495,0,348,336,TEC,,,,,,,,,,,,,,,,,,,0,1
